City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,maltahohe,-24.8333,16.9833,288.35,61,0,5.24,NA,1676957776
207,tual,-5.6667,132.75,301.34,71,95,3.66,ID,1676957776
208,laguna,38.421,-121.4238,286.46,65,0,2.06,US,1676957777
209,san rafael,-34.6177,-68.3301,293.36,40,4,3.1,AR,1676957777
210,los llanos de aridane,28.6585,-17.9182,288.01,71,75,3.58,ES,1676957778
211,quatis,-22.4072,-44.2581,292.35,97,20,0.7,BR,1676957779
212,pilani,28.3684,75.6041,302.23,14,1,5.22,IN,1676957779
213,bambanglipuro,-7.95,110.2833,302.72,68,63,5.3,ID,1676957780
214,opuwo,-18.0607,13.84,292.23,38,4,1.55,NA,1676957780
215,cherskiy,68.75,161.3,239.73,98,97,0.77,RU,1676957781
216,csepreg,47.401,16.7088,279.72,70,27,1.43,HU,1676957782
217,ranong,9.9658,98.6348,305.11,52,100,2.05,TH,1676957782
218,black river,18.0264,-77.8487,295.25,88,24,2.23,JM,1676957783
219,miles city,46.4083,-105.8406,269.69,80,100,3.6,US,1676957784
220,nuevitas,21.5453,-77.2644,295.6,79,4,2.79,CU,1676957784
221,saint-philippe,-21.3585,55.7679,304.92,87,98,9.97,RE,1676957785
222,bethel,41.3712,-73.414,280.73,66,100,3.6,US,1676957786
223,cidreira,-30.1811,-50.2056,293.91,89,100,4.2,BR,1676957787
224,tautira,-17.7333,-149.15,300.1,77,32,6.33,PF,1676957787
225,gasa,31.5,34.4667,286.42,56,100,2.43,PS,1676957526
226,thinadhoo,0.5333,72.9333,300.49,78,19,5.43,MV,1676957788
227,nazare,-13.035,-39.0144,296.89,92,100,1.23,BR,1676957789
228,san vicente,-26.6167,-54.1333,286.91,99,66,0.88,AR,1676957790
229,bali chak,22.3667,87.55,305.08,30,2,2.9,IN,1676957790
230,ayan,56.45,138.1667,256.55,70,1,2.08,RU,1676957791
231,sept-iles,50.2001,-66.3821,262.44,73,40,4.63,CA,1676957783
232,charters towers,-20.1,146.2667,300.63,63,99,5.77,AU,1676957792
233,nanakuli,21.3906,-158.1547,296.73,83,100,3.09,US,1676957792
234,quime,-16.9833,-67.2167,283.25,93,99,1.73,BO,1676957793
235,saint george,37.1041,-113.5841,282.48,43,0,0.89,US,1676957661
236,saint anthony,45.0205,-93.218,262.93,75,100,11.32,US,1676957794
237,noumea,-22.2763,166.4572,303.14,72,72,8.27,NC,1676957794
238,kaitangata,-46.2817,169.8464,285.86,96,98,4.5,NZ,1676957795
239,nikolskoye,59.7035,30.7861,260.09,95,62,2.55,RU,1676957796
240,aswan,24.0934,32.907,285.76,47,0,3.09,EG,1676957797
241,brumadinho,-20.1433,-44.1997,294.44,95,47,1.07,BR,1676957797
242,saint-georges,12.0564,-61.7485,296.39,81,69,5.5,GD,1676957798
243,port hardy,50.6996,-127.4199,278.25,87,100,6.69,CA,1676957619
244,camara de lobos,32.6333,-16.9667,289.1,75,20,4.12,PT,1676957799
245,ostersund,63.1792,14.6357,268.4,100,100,3.09,SE,1676957800
246,wagar,16.1525,36.2032,297.34,53,15,3.17,SD,1676957800
247,nebbi,2.4783,31.0889,299.46,23,100,1.55,UG,1676957801
248,addis abeba,9.025,38.7469,287.64,29,19,2.06,ET,1676957576
249,kawalu,-7.3817,108.2082,303.95,56,66,1.17,ID,1676957802
250,acajutla,13.5928,-89.8275,298.29,65,19,2.41,SV,1676957802
251,ribeira grande,38.5167,-28.7,288.58,92,100,2.24,PT,1676957803
252,jacareacanga,-6.2222,-57.7528,294.73,100,100,0.52,BR,1676957804
253,ankola,14.6667,74.3,304.86,43,0,2.18,IN,1676957804
254,ulagan,50.6321,87.9563,269.2,72,100,0.73,RU,1676957805
255,lensk,60.7253,114.9278,264.93,89,100,3.83,RU,1676957805
256,yushala,57.0761,64.2601,261.96,91,100,1.94,RU,1676957806
257,zwedru,6.0667,-8.1281,295.41,99,22,1.09,LR,1676957807
258,bengkulu,-3.8004,102.2655,301.81,64,87,3.34,ID,1676957807
259,bubaque,11.2833,-15.8333,296.22,76,20,3.61,GW,1676957808
260,bojnurd,37.4747,57.329,282.12,43,0,1.03,IR,1676957809
261,faya,18.3851,42.4509,286.21,36,8,1.59,SA,1676957809
262,aykhal,66.0,111.5,256.15,93,16,5.45,RU,1676957810
263,sangar,63.9242,127.4739,247.72,91,100,4.58,RU,1676957811
264,clyde river,70.4692,-68.5914,238.28,61,100,2.57,CA,1676957811
265,karratha,-20.7377,116.8463,307.77,52,3,7.08,AU,1676957812
266,tebingtinggi,3.3285,99.1625,304.97,53,46,2.41,ID,1676957812
267,barcelos,41.5388,-8.6151,286.44,90,91,1.42,PT,1676957813
268,mirante do paranapanema,-22.2919,-51.9064,292.0,96,100,1.74,BR,1676957814
269,hay river,60.8156,-115.7999,244.14,76,0,4.12,CA,1676957814
270,keningau,5.3378,116.1602,302.46,63,82,2.63,MY,1676957815
271,pudem,58.3044,52.1675,261.27,93,99,4.53,RU,1676957816
272,nara,34.6851,135.8049,279.77,44,98,7.56,JP,1676957817
273,tasiilaq,65.6145,-37.6368,263.24,77,48,2.88,GL,1676957817
274,san andres,12.5847,-81.7006,299.16,83,40,7.2,CO,1676957818
275,sorong,-0.8833,131.25,302.1,69,57,3.14,ID,1676957819
276,ahipara,-35.1667,173.1667,293.48,75,9,2.2,NZ,1676957819
277,itarema,-2.9248,-39.9167,297.68,86,77,4.41,BR,1676957820
278,lerwick,60.1545,-1.1494,280.15,73,100,3.26,GB,1676957820
279,guerrero negro,27.9769,-114.0611,288.85,79,72,3.24,MX,1676957822
280,puro,12.4841,123.3827,300.16,75,96,5.41,PH,1676957823
281,uch,45.3192,-0.9345,281.67,79,85,3.58,FR,1676958001
282,yantai,37.5333,121.4,272.49,40,93,4.67,CN,1676958001
283,santa maria da vitoria,-13.3947,-44.1886,292.79,91,37,0.43,BR,1676958002
284,cerea,45.1921,11.2103,274.49,89,98,0.71,IT,1676958003
285,marawi,7.9986,124.2928,297.16,88,72,2.48,PH,1676958003
286,ivanovka,42.8878,75.085,279.83,73,95,0.54,KG,1676958004
287,pokhara,28.2333,83.9833,297.36,38,73,3.27,NP,1676958004
288,kendari,-3.945,122.4989,300.22,85,93,0.24,ID,1676958005
289,ambon,-3.6954,128.1814,304.23,74,40,3.6,ID,1676958006
